idx,lat,long,pnp_ssi,rp_ssi,weight,lon1,lat1,hit@1
0,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
1,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
2,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
3,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
4,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
5,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
6,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
7,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
8,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
9,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
10,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
11,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
12,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
13,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
14,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,-1
15,0.2295962287588102,1.847666452916104,517.0688745767877,486.9062222428987,48.0,105.8634897,13.1548949,1
16,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
17,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
18,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
19,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
20,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,1
21,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
22,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,1
23,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,1
24,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,1
25,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
26,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
27,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
28,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,1
29,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
30,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
31,0.230095109657943,1.84792100395152,519.4535760820277,489.1387712118151,48.0,105.8780744,13.18347867,-1
32,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
33,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
34,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
35,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
36,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
37,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
38,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
39,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
40,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
41,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
42,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
43,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
44,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,1
45,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
46,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
47,0.5272962619018342,-1.588503846591679,512.3160162471594,172.52348711540344,48.0,-91.01456615,30.21185036,-1
48,0.258135107257298,0.753030942360224,589.4617838064756,589.4617838064756,80.0,43.14549484,14.79005219,1
49,0.258135107257298,0.753030942360224,589.4617838064756,589.4617838064756,80.0,43.14549484,14.79005219,-1
50,0.258135107257298,0.753030942360224,589.4617838064756,589.4617838064756,80.0,43.14549484,14.79005219,-1
