idx,lat,long,pnp_ssi,rp_ssi,weight
0,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
1,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
2,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
3,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
4,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
5,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
6,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
7,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
8,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
9,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
10,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
11,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
12,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
13,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
14,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
15,0.2295962287588102,1.847666452916104,520.2497021156892,19.65476616562499,48.0
16,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
17,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
18,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
19,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
20,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
21,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
22,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
23,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
24,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
25,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
26,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
27,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
28,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
29,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
30,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
31,0.230095109657943,1.8479210039515197,521.0464409153082,14.074871639515809,48.0
32,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
33,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
34,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
35,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
36,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
37,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
38,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
39,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
40,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
41,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
42,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
43,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
44,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
45,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
46,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
47,0.5272962619018342,-1.588503846591679,513.1066273872038,36.014811196283894,48.0
48,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
49,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
50,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
51,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
52,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
53,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
54,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
55,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
56,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
57,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
58,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
59,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
60,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
61,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
62,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
63,0.258135107257298,0.753030942360224,507.58521749199906,3.7762267651769235,48.0
64,0.10790760388534931,-1.0726253024617207,,,
65,0.10790760388534931,-1.0726253024617207,,,
66,0.10790760388534931,-1.0726253024617207,,,
67,0.10790760388534931,-1.0726253024617207,,,
68,0.10790760388534931,-1.0726253024617207,,,
69,0.10790760388534931,-1.0726253024617207,,,
70,0.10790760388534931,-1.0726253024617207,,,
71,0.10790760388534931,-1.0726253024617207,,,
72,0.10790760388534931,-1.0726253024617207,,,
73,0.10790760388534931,-1.0726253024617207,,,
