idx,lat,long,pnp_ssi,rp_ssi,weight,lon1,lat1,hit@1
0,0.7161462604148904,-1.4219633687320268,3.5305501434346325,3.530550143434632,10.0,-81.47249965054999,41.03215823585,-1
1,0.6696981977440204,1.9901162139519308,,,,114.0252598,38.37088027825,-1
2,-0.3714018495889597,-0.8408452159883745,20.818717648088857,20.818717648088857,5.0,-48.17688209989999,-21.2797584848,-1
3,0.7601601387516743,0.0659777054742201,4.333214151562265,5.85969296840027,32.0,3.78024406563,43.55396770455,-1
4,0.7390818334373318,-0.0643143895967698,5.495542173561885,5.148645754143796,25.0,-3.684943085855,42.34626977075,-1
5,0.6747909126134882,-1.5823076424756646,1.962310369410502,1.962310369410502,9.0,-90.65954980515076,38.662671346534026,-1
6,0.6861282771886399,-0.0055679189160893,6.148541971185696,6.911395811302905,24.0,-0.3190182545629747,39.312254487491344,-1
7,0.8863615393626738,-0.0281004310209686,5.231275017633428,3.743844345843557,19.0,-1.6100361,50.7847753282,-1
8,0.6106958990623204,-1.6054434358549,1.7291520877093152,1.7291520877093152,8.0,-91.98513312146768,34.99029758221828,-1
9,0.9934590970475102,0.4194978723434942,2.8512882063076974,2.17939692829495,8.0,24.0354576,56.92101337969999,-1
10,-0.1193378004402363,0.685606699274083,,,,39.2823702743,-6.837552301599999,-1
11,0.6055981814694986,2.3532562702845143,,,,134.8316524,34.69821987900001,-1
12,-0.5828447725678475,-1.2325328889866245,1.4167290117251925,1.4167290117251925,5.0,-70.61893265,-33.3945455794,-1
13,0.7364162335921438,0.430644188707934,4.04609176076869,3.593190927658985,12.0,24.6740944848,42.19354214975,-1
14,0.7267628197342573,-0.0151367204944297,4.690159148957816,5.4555781095664,25.0,-0.8672702,41.6404422778,-1
15,0.8652955976684098,0.0326844402822447,3.34984507527063,3.0262093141282,23.0,1.87268048392,49.57778577764999,-1
16,1.0693841170825278,1.2809851822379772,,,,73.39504456103272,61.27119658715272,-1
17,0.7608780510062867,0.0686246462481975,4.17893385031361,5.800553315832066,32.0,3.9319026006,43.5951010468,-1
18,0.7958660818743579,-1.2858778660056736,6.872687700455318,6.872687700455318,8.0,-73.67537469141388,45.59976754901393,-1
19,0.637967007154583,0.0502760591527037,5.207514609165496,6.738256576462243,22.0,2.880606,36.55281697855,-1
20,0.8435550772481303,0.285051443755484,3.064954250817633,3.5530386162085503,20.0,16.3322446713,48.332145713150005,-1
21,-0.0356338514065216,0.5989147202223647,,,,34.315285757,-2.04166929339,-1
22,0.5765340206134587,-1.6905511181021446,1.5609119501543054,1.5609119501543054,7.0,-96.86144411837527,33.03296612685959,-1
23,0.7869791688296078,0.2053650012443474,3.2176222853018177,5.800407631135002,28.0,11.766547831000004,45.09058493865,-1
24,1.0231622386822516,0.8665381116660377,1.845368926497918,1.845368926497918,5.0,49.648976585700005,58.62287803365,-1
25,0.524246890856011,0.5455823939645772,,,,31.25956855081403,30.037134268904936,-1
26,0.2115413189811541,-1.2028694449428528,,,,-68.91934250046941,12.120424770250825,-1
27,0.3946957049233698,1.9965304996658744,,,,114.3927713,22.61439808405,-1
28,-0.3725229345406251,-0.8158136737633185,17.176139523088814,17.176139523088814,5.0,-46.74268037570077,-21.34399192100605,-1
29,0.7592161979010633,-1.4058399202267309,6.598789177764309,6.598789177764309,9.0,-80.5486941,43.4998838777,-1
30,0.6193146179404362,2.436807272038903,,,,139.6187721746166,35.48411379874405,-1
31,0.5839852736755263,0.770453928284904,1.4477126764979196,1.3102981486248657,5.0,44.1437584,33.4598914794,-1
32,0.6703590850008446,-0.1515369956683728,8.551343086173157,5.8898770741284485,17.0,-8.68243029189,38.40874632880001,1
33,0.5603700054812774,0.4178044387114787,1.504624871925929,1.504624871925929,6.0,23.938431000000005,32.1068362798,-1
34,0.701471417381155,0.3150264645239484,6.870059369245789,8.156322441741146,16.0,18.04968685215,40.191351665,-1
35,-0.7006353385755764,-1.2447326645362424,,,,-71.3179283,-40.143447878100005,-1
36,0.9408386102730594,1.5139881289858972,,,,86.7451300238,53.9060815716,-1
37,0.6459432525924456,2.118315956802499,,,,121.370564,37.0098221785,-1
38,0.842453380763914,-0.035938743321222,3.2707958535618697,3.6658505570564417,23.0,-2.05913831331,48.2690231543,-1
39,0.545381990535012,2.124375854284489,,,,121.71777055,31.2480862801,-1
40,0.7831621744365032,-1.1089361394104529,,,,-63.53736053775001,44.8718872695,-1
41,-0.3902639702125781,-0.8570836674992327,17.970795062861548,17.970795062861548,5.0,-49.1072768373,-22.360478389200004,-1
42,-0.6041252160749362,-1.018893631454565,,,,-58.37830485510449,-34.61382517852276,-1
43,0.5902128699467061,0.0500585295701425,10.278772465956877,9.602275255332833,17.0,2.868142473,33.81670646225,-1
44,0.2770701502451028,-1.6945727455864537,,,,-97.0918664,15.8749502381,-1
45,0.9006320225875911,0.3661654802114997,2.018930736957908,1.9833396751853087,14.0,20.9797366195,51.6024137886,-1
46,0.7661732662137299,0.0838930699087964,4.838848084164902,5.192537330953945,31.0,4.80671883617,43.8984945298,-1
47,0.7182324496327667,0.2909102134650986,5.143973286721026,4.740161234056173,19.0,16.667927448800004,41.1516880733,-1
48,-0.7179614297499416,-1.244421833613767,,,,-71.300119,-41.13615977785,-1
49,0.5849976160521017,-1.5159610406062756,1.8119531067987809,1.811953106798781,8.0,-86.858169533,33.51789442500001,-1
50,0.6119106592836151,0.6404680820894846,1.5520408458182622,1.4482732482895644,7.0,36.69611801656582,35.05989821601885,-1
51,0.2558257060064129,-1.5777329299513858,,,,-90.39743808502396,14.657733245122056,-1
