idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
0,0.8192198727182461,0.3188523427947894,0.0612489879681179,0.0639611449599468,0.0028385002500713,353,18.26889353,46.9378412,1
1,0.8521728859427002,0.074376871930453,0.0160793457540599,0.0744575912845444,0.0619184168706076,820,4.261480855,48.82590978,1
2,0.8444834094447078,0.2851430564142977,0.0363501557217745,0.0312284223024122,0.001054762547884,454,16.33749369,48.38533523,1
3,0.927396805167255,0.1973733878150291,0.0185094206689877,0.0114327104908825,0.0,414,11.30866211,53.13592287,1
4,0.8210188556603749,0.3239916736931982,0.0532852588725043,0.067715207306185,0.0092325981622778,357,18.5633555,47.04091533,1
5,0.9955380987002028,0.1602567995414648,0.0301184258766482,0.0145982442834011,0.0,170,9.182038252,57.0401314,0
6,0.6807870223860681,-0.0340701015256155,0.0769845784195067,0.0094082844757346,0.01503102859102,246,-1.952073025,39.00622313,1
7,0.7705898655226237,0.4988325302996202,0.0606925156997069,0.0615791620865022,0.7952936169123578,181,28.58099867,44.15154703,1
8,0.6814551709011128,-0.0349108200115033,0.0579248860944419,0.0034001543543371,0.0405382966886384,250,-2.000242646,39.04450522,1
9,0.8411960566658352,0.2044402596412087,0.0499587762110664,0.0330316190858911,0.024113477471174,654,11.71356404,48.19698379,1
10,0.821519198970888,0.3243240116099143,0.0698201048689778,0.0699887358292018,0.0052746798316395,358,18.58239706,47.06958289,1
11,0.8324533455227636,0.2955296689197463,0.0614229971282292,0.0500611146112601,0.0032146220974139,420,16.93260275,47.69606334,1
12,0.8257550907252637,0.2923651833059568,0.0197634045488901,0.0567629875096814,0.0055284876817242,394,16.75129108,47.31228161,1
13,0.8530044625510457,0.0755970966414902,0.0192761093798598,0.0642299752082016,0.0556615699662297,841,4.331394581,48.87355561,1
14,0.8540913066524647,0.0805036819849326,0.0344643208457777,0.0714741303165469,0.0438506342256634,899,4.612521213,48.93582719,1
15,0.8563115764713081,0.0438487336999465,0.051608985590665,0.0402254664613102,0.0425519222738674,618,2.512347378,49.06303928,1
16,0.8519190264067341,0.0768833246782895,0.0293753864648471,0.0665502787893815,0.0369199001492238,841,4.405090019,48.8113647,1
17,0.8456746006734512,0.070082114670997,0.0498347636395079,0.0839679148468967,0.058526345635842,693,4.01540939,48.45358546,1
18,0.6786367249113323,-0.0330375591725354,1.2722513988011064,0.0256366881516477,0.0373667241260456,238,-1.892912706,38.88302016,1
