idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
0,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
1,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
2,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
3,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
4,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
5,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
6,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
7,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
8,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
9,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
10,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
11,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
12,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
13,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
14,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,0
15,0.2295962287588102,1.847666452916104,0.0,0.0005859840463091,0.0005859840463091,48,105.8634897,13.1548949,1
16,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
17,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
18,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
19,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
20,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,1
21,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
22,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,1
23,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,1
24,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,1
25,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
26,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
27,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
28,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,1
29,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
30,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
31,0.230095109657943,1.84792100395152,0.0005859840463091,0.0005859840463091,0.0,48,105.8780744,13.18347867,0
32,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
33,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
34,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
35,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
36,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
37,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
38,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
39,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
40,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
41,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
42,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
43,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
44,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,1
45,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
46,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
47,0.5272962619018342,-1.588503846591679,0.0,0.0,0.0,32,-91.01456615,30.21185036,0
48,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
49,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
50,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
51,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
52,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
53,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
54,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
55,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
56,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
57,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
58,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
59,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,1
60,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
61,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
62,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
63,0.258135107257298,0.753030942360224,0.0,0.0,0.0,16,43.14549484,14.79005219,0
64,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
65,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
66,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
