idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
0,0.7161462604148904,-1.4219633687320268,0.0,0.0,0.0,2,-81.47249965054999,41.03215823585,0
1,0.6696981977440204,1.9901162139519308,0.0,0.0,0.0,1,114.0252598,38.37088027825,0
2,-0.3714018495889597,-0.8408452159883745,0.0,0.0,0.0,4,-48.17688209989999,-21.2797584848,0
3,0.7601601387516743,0.0659777054742201,0.0,0.0,0.0,3,3.78024406563,43.55396770455,0
4,0.7390818334373318,-0.0643143895967698,0.0,0.0,0.0,5,-3.684943085855,42.34626977075,0
5,0.6747909126134882,-1.5823076424756646,0.0,0.0,0.0,1,-90.65954980515076,38.662671346534026,0
6,0.6861282771886399,-0.0055679189160893,0.0,0.0,0.0,4,-0.3190182545629747,39.312254487491344,0
7,0.8863615393626738,-0.0281004310209686,0.0,0.0,0.0,4,-1.6100361,50.7847753282,0
8,0.6106958990623204,-1.6054434358549,0.0,0.0,0.0,1,-91.98513312146768,34.99029758221828,0
9,0.9934590970475102,0.4194978723434942,0.0,0.0,0.0,1,24.0354576,56.92101337969999,0
10,-0.1193378004402363,0.685606699274083,0.0,0.0,0.0,1,39.2823702743,-6.837552301599999,0
11,0.6055981814694986,2.3532562702845143,0.0,0.0,0.0,1,134.8316524,34.69821987900001,0
12,-0.5828447725678475,-1.2325328889866245,0.0,0.0,0.0,1,-70.61893265,-33.3945455794,0
13,0.7364162335921438,0.430644188707934,0.0,0.0,0.0,1,24.6740944848,42.19354214975,0
14,0.7267628197342573,-0.0151367204944297,0.0,0.0,0.0,6,-0.8672702,41.6404422778,0
15,0.8652955976684098,0.0326844402822447,0.0,0.0,0.0,2,1.87268048392,49.57778577764999,0
16,1.0693841170825278,1.2809851822379772,0.0,0.0,0.0,2,73.39504456103272,61.27119658715272,0
17,0.7608780510062867,0.0686246462481975,0.0,0.0,0.0,3,3.9319026006,43.5951010468,0
18,0.7958660818743579,-1.2858778660056736,0.0,0.0,0.0,2,-73.67537469141388,45.59976754901393,0
19,0.637967007154583,0.0502760591527037,0.0,0.0,0.0,4,2.880606,36.55281697855,0
20,0.8435550772481303,0.285051443755484,0.0,0.0,0.0,3,16.3322446713,48.332145713150005,0
21,-0.0356338514065216,0.5989147202223647,0.0,0.0,0.0,1,34.315285757,-2.04166929339,0
22,0.5765340206134587,-1.6905511181021446,0.0,0.0,0.0,1,-96.86144411837527,33.03296612685959,0
23,0.7869791688296078,0.2053650012443474,0.0,0.0,0.0,4,11.766547831000004,45.09058493865,0
24,1.0231622386822516,0.8665381116660377,0.0,0.0,0.0,1,49.648976585700005,58.62287803365,0
25,0.524246890856011,0.5455823939645772,0.0,0.0,0.0,1,31.25956855081403,30.037134268904936,0
26,0.2115413189811541,-1.2028694449428528,0.0,0.0,0.0,1,-68.91934250046941,12.120424770250825,0
