index,hit@1,hit@3,lon,lat
145,-1,1,-1.83796444,14.20672093
146,-1,-1,-1.83796444,14.20672093
147,-1,-1,-1.83796444,14.20672093
148,-1,-1,-1.83796444,14.20672093
149,1,1,-1.83796444,14.20672093
150,-1,-1,-1.83796444,14.20672093
151,1,1,-1.83796444,14.20672093
152,-1,-1,-1.83796444,14.20672093
153,-1,-1,-1.83796444,14.20672093
154,1,1,-1.83796444,14.20672093
155,-1,-1,-1.83796444,14.20672093
156,-1,1,-1.83796444,14.20672093
157,1,1,-1.83796444,14.20672093
158,-1,-1,-1.83796444,14.20672093
159,-1,-1,-1.83796444,14.20672093
160,1,1,92.40400925,20.84095154
161,-1,-1,92.40400925,20.84095154
162,1,1,92.40400925,20.84095154
163,-1,-1,92.40400925,20.84095154
164,-1,-1,92.40400925,20.84095154
165,1,1,92.40400925,20.84095154
166,1,1,92.40400925,20.84095154
167,-1,-1,92.40400925,20.84095154
168,-1,-1,92.40400925,20.84095154
169,-1,-1,92.40400925,20.84095154
170,-1,1,92.40400925,20.84095154
171,-1,-1,92.40400925,20.84095154
172,1,1,92.40400925,20.84095154
173,1,1,92.40400925,20.84095154
174,-1,-1,92.40400925,20.84095154
175,-1,-1,92.40400925,20.84095154
176,1,1,129.7249087,41.84832383
177,-1,-1,129.7249087,41.84832383
178,-1,1,129.7249087,41.84832383
179,1,1,129.7249087,41.84832383
180,-1,-1,129.7249087,41.84832383
181,1,1,129.7249087,41.84832383
182,-1,-1,129.7249087,41.84832383
183,-1,-1,129.7249087,41.84832383
184,-1,-1,129.7249087,41.84832383
185,1,1,129.7249087,41.84832383
186,1,1,129.7249087,41.84832383
187,1,1,129.7249087,41.84832383
188,1,1,129.7249087,41.84832383
189,-1,-1,129.7249087,41.84832383
190,-1,-1,129.7249087,41.84832383
191,1,1,129.7249087,41.84832383
192,1,1,79.29675463,37.23290417
193,-1,1,79.29675463,37.23290417
194,-1,1,79.29675463,37.23290417
195,1,1,79.29675463,37.23290417
196,-1,1,79.29675463,37.23290417
197,-1,1,79.29675463,37.23290417
198,-1,1,79.29675463,37.23290417
199,1,1,79.29675463,37.23290417
200,-1,-1,79.29675463,37.23290417
201,1,1,79.29675463,37.23290417
202,-1,1,79.29675463,37.23290417
203,1,1,79.29675463,37.23290417
204,-1,-1,79.29675463,37.23290417
205,-1,1,79.29675463,37.23290417
206,-1,-1,79.29675463,37.23290417
207,-1,-1,79.29675463,37.23290417
208,1,1,79.31457239,37.23290417
209,1,1,79.31457239,37.23290417
210,1,1,79.31457239,37.23290417
211,-1,-1,79.31457239,37.23290417
212,-1,-1,79.31457239,37.23290417
213,1,1,79.31457239,37.23290417
214,-1,-1,79.31457239,37.23290417
215,1,1,79.31457239,37.23290417
216,-1,-1,79.31457239,37.23290417
217,1,1,79.31457239,37.23290417
218,-1,-1,79.31457239,37.23290417
219,-1,-1,79.31457239,37.23290417
220,-1,1,79.31457239,37.23290417
221,-1,-1,79.31457239,37.23290417
222,1,1,79.31457239,37.23290417
223,-1,1,79.31457239,37.23290417
224,-1,-1,92.15998805,21.19089275
225,-1,-1,92.15998805,21.19089275
226,-1,1,92.15998805,21.19089275
227,-1,1,92.15998805,21.19089275
228,-1,1,92.15998805,21.19089275
229,1,1,92.15998805,21.19089275
230,1,1,92.15998805,21.19089275
231,1,1,92.15998805,21.19089275
232,1,1,92.15998805,21.19089275
233,-1,1,92.15998805,21.19089275
234,1,1,92.15998805,21.19089275
235,-1,-1,92.15998805,21.19089275
236,-1,1,92.15998805,21.19089275
237,-1,-1,92.15998805,21.19089275
238,-1,1,92.15998805,21.19089275
239,-1,1,92.15998805,21.19089275
240,1,1,40.4922077,-12.08325664
241,1,1,40.4922077,-12.08325664
242,1,1,40.4922077,-12.08325664
243,-1,-1,40.4922077,-12.08325664
244,-1,-1,40.4922077,-12.08325664
245,1,1,40.4922077,-12.08325664
246,1,1,40.4922077,-12.08325664
247,-1,1,40.4922077,-12.08325664
248,1,1,40.4922077,-12.08325664
249,1,1,40.4922077,-12.08325664
250,-1,-1,40.4922077,-12.08325664
251,-1,1,40.4922077,-12.08325664
252,-1,1,40.4922077,-12.08325664
253,-1,-1,40.4922077,-12.08325664
254,-1,-1,40.4922077,-12.08325664
255,-1,-1,40.4922077,-12.08325664
256,1,1,97.74979277,22.94985332
257,-1,-1,97.74979277,22.94985332
258,-1,-1,97.74979277,22.94985332
259,1,1,97.74979277,22.94985332
260,-1,1,97.74979277,22.94985332
261,-1,-1,97.74979277,22.94985332
262,-1,-1,97.74979277,22.94985332
263,-1,-1,97.74979277,22.94985332
264,1,1,97.74979277,22.94985332
265,-1,-1,97.74979277,22.94985332
266,1,1,97.74979277,22.94985332
267,-1,-1,97.74979277,22.94985332
268,-1,-1,97.74979277,22.94985332
269,1,1,97.74979277,22.94985332
270,-1,1,97.74979277,22.94985332
271,-1,1,97.74979277,22.94985332
272,1,1,13.17171469,11.78485765
273,1,1,13.17171469,11.78485765
274,1,1,13.17171469,11.78485765
275,-1,-1,13.17171469,11.78485765
276,-1,1,13.17171469,11.78485765
277,-1,-1,13.17171469,11.78485765
278,1,1,13.17171469,11.78485765
279,1,1,13.17171469,11.78485765
280,1,1,13.17171469,11.78485765
281,1,1,13.17171469,11.78485765
282,-1,-1,13.17171469,11.78485765
283,-1,-1,13.17171469,11.78485765
284,-1,-1,13.17171469,11.78485765
285,1,1,13.17171469,11.78485765
286,1,1,13.17171469,11.78485765
287,-1,-1,13.17171469,11.78485765
288,-1,-1,-98.08596791,26.08341993
289,1,1,-98.08596791,26.08341993
290,1,1,-98.08596791,26.08341993
291,1,1,-98.08596791,26.08341993
292,-1,1,-98.08596791,26.08341993
293,1,1,-98.08596791,26.08341993
294,-1,-1,-98.08596791,26.08341993
295,-1,1,-98.08596791,26.08341993
296,-1,1,-98.08596791,26.08341993
297,-1,-1,-98.08596791,26.08341993
298,-1,-1,-98.08596791,26.08341993
299,1,1,-98.08596791,26.08341993
300,1,1,-98.08596791,26.08341993
301,-1,-1,-98.08596791,26.08341993
302,-1,-1,-98.08596791,26.08341993
303,1,1,-98.08596791,26.08341993
304,-1,-1,13.6007652,12.65831658
305,-1,-1,13.6007652,12.65831658
306,1,1,13.6007652,12.65831658
307,-1,1,13.6007652,12.65831658
308,-1,-1,13.6007652,12.65831658
309,-1,-1,13.6007652,12.65831658
310,1,1,13.6007652,12.65831658
311,1,1,13.6007652,12.65831658
312,-1,-1,13.6007652,12.65831658
313,-1,-1,13.6007652,12.65831658
314,-1,1,13.6007652,12.65831658
315,-1,-1,13.6007652,12.65831658
316,1,1,13.6007652,12.65831658
317,-1,1,13.6007652,12.65831658
318,1,1,13.6007652,12.65831658
319,-1,1,13.6007652,12.65831658
320,1,1,-54.48301378,5.025368402
321,1,1,-54.48301378,5.025368402
322,1,1,-54.48301378,5.025368402
323,-1,1,-54.48301378,5.025368402
324,1,1,-54.48301378,5.025368402
325,1,1,-54.48301378,5.025368402
326,-1,1,-54.48301378,5.025368402
327,-1,1,-54.48301378,5.025368402
328,-1,1,-54.48301378,5.025368402
329,1,1,-54.48301378,5.025368402
330,-1,-1,-54.48301378,5.025368402
331,1,1,-54.48301378,5.025368402
332,-1,-1,-54.48301378,5.025368402
333,1,1,-54.48301378,5.025368402
334,-1,1,-54.48301378,5.025368402
335,1,1,-54.48301378,5.025368402
336,1,1,-54.46875572,5.011070167
337,1,1,-54.46875572,5.011070167
338,1,1,-54.46875572,5.011070167
339,-1,-1,-54.46875572,5.011070167
340,-1,-1,-54.46875572,5.011070167
341,-1,1,-54.46875572,5.011070167
342,-1,-1,-54.46875572,5.011070167
343,1,1,-54.46875572,5.011070167
344,1,1,-54.46875572,5.011070167
